Name,Interaction,Quality,Attack,Defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Points,,Attack multiplier,5,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,,defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,df,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6
Orc Archers/Crossbowmen,24,4,2,6,Shooters 2 - L,,,,,,47,,,,,16,0,0,0,0,0,,6,1,1,1,1,1,1,6,,16,0,0,0,0,0
Orc Armored Archers/Crossbowmen,26,4,2,7,Shooters 2 - L,,,,,,51,,,,,16,0,0,0,0,0,,7,1,1,1,1,1,1,7,,16,0,0,0,0,0
Orc Elite Marksmen/Arquebusiers,27,3,2,6,Shooters 2 - L,,,,,,62,,,,,16,0,0,0,0,0,,6,1,1,1,1,1,1,6,,16,0,0,0,0,0
Orc Warriors with Poisoned Blades,20,4,2,6,Poison/Venom - L,,,,,,40,,,,,8,0,0,0,0,0,,6,1,1,1,1,1,1,6,,8,0,0,0,0,0
Orc Shooters with Poisoned Arrows,18,4,2,5,Shooters 1 - L,Poisoned Missiles L,,,,,41,,,,,10,4,0,0,0,0,,3,1,"1,5",1,1,1,1,"4,5",,10,0,0,0,0,0
Orc Samurai,21,4,2,6,Fearless,Steadfast,,,,,42,,,,,5,5,0,0,0,0,,6,1,1,1,1,1,1,6,,5,5,0,0,0,0
Orc Samurai With Pikes,22,4,2,6,Fearless,Pikes,,,,,43,,,,,5,6,0,0,0,0,,6,1,1,1,1,1,1,6,,5,6,0,0,0,0
Armored Black Orcs,20,4,2,7,Steadfast,,,,,,42,,,,,5,0,0,0,0,0,,7,1,1,1,1,1,1,7,,5,0,0,0,0,0
Armored Orc Pikemen,21,4,2,7,Pikes,,,,,,43,,,,,6,0,0,0,0,0,,7,1,1,1,1,1,1,7,,6,0,0,0,0,0
Orc Elfslayers,19,4,2,6,"Slayers - L, R3",,,,,,38,,,,,5,0,0,0,0,0,,6,1,1,1,1,1,1,6,,5,0,0,0,0,0
Orc Dwarfslayers,19,4,2,6,"Slayers - L, R3",,,,,,38,,,,,5,0,0,0,0,0,,6,1,1,1,1,1,1,6,,5,0,0,0,0,0
Savage Orcs,15,4,2,5,Savage - L,Horde,,,,,38,,,,,9,1,0,0,0,0,,3,1,1,1,1,1,1,3,,9,1,0,0,0,0
Orc Berserkers,14,4,2,5,"Berserk - L, R3",,,,,,36,,,,,8,0,0,0,0,0,,3,1,1,1,1,1,1,3,,8,0,0,0,0,0
Orc Raiders/Rangers,13,4,1,5,Scout - R4,Skirmishers,,,,,33,,,,,5,5,0,0,0,0,,3,1,1,1,1,1,1,3,,5,5,0,0,0,0
Orc Wolf Riders,21,4,2,6,Mounted – L,Fast,,,,,42,,,,,6,4,0,0,0,0,,6,1,1,1,1,1,1,6,,6,4,0,0,0,0
Orc Armored Wolf Riders,21,4,2,7,Mounted – L,,,,,,43,,,,,6,0,0,0,0,0,,7,1,1,1,1,1,1,7,,6,0,0,0,0,0
Orc Boar Riders,22,4,2,6,Mounted – L,Devastating Charge - L,,,,,44,,,,,6,7,0,0,0,0,,6,1,1,1,1,1,1,6,,6,7,0,0,0,0
Orc Elite Boar Riders,26,3,2,6,Mounted – L,Devastating Charge - L,,,,,59,,,,,6,7,0,0,0,0,,6,1,1,1,1,1,1,6,,6,7,0,0,0,0
Orc Armored Boar Rider,24,4,2,7,Mounted – L,Devastating Charge - L,,,,,48,,,,,6,7,0,0,0,0,,7,1,1,1,1,1,1,7,,6,7,0,0,0,0
Orc Elite Armored Boar Rider,28,3,2,7,Mounted – L,Devastating Charge - L,,,,,64,,,,,6,7,0,0,0,0,,7,1,1,1,1,1,1,7,,6,7,0,0,0,0
Orc Pirates,13,4,1,5,Difficult Target,Skirmishers,,,,,33,,,,,5,5,0,0,0,0,,3,1,1,1,1,1,1,3,,5,5,0,0,0,0
Desert Orcs,18,4,2,6,Desert-Walk,Horde,,,,,37,,,,,3,1,0,0,0,0,,6,1,1,1,1,1,1,6,,3,1,0,0,0,0
Mountain Orcs,19,4,2,6,Mountaineer,Ambushers - L,,,,,38,,,,,3,3,0,0,0,0,,6,1,1,1,1,1,1,6,,3,3,0,0,0,0
Forest Orcs,19,4,2,6,Forester,0,,,,,38,,,,,5,0,0,0,0,0,,6,1,1,1,1,1,1,6,,5,0,0,0,0,0
Desert Orc Shooters,14,4,1,5,Desert-Walk,Shooters 1 - L,,,,,36,,,,,3,10,0,0,0,0,,3,1,1,1,1,1,1,3,,3,10,0,0,0,0
Mountain Orc Shooters,16,4,1,5,Mountaineer,Shooters 1 - L,Skirmishers,,,,40,,,,,3,10,5,0,0,0,,3,1,1,1,1,1,1,3,,3,10,5,0,0,0
Forest Orc Shooters,15,4,1,5,Forester,Shooters 1 - L,0,,,,38,,,,,5,10,0,0,0,0,,3,1,1,1,1,1,1,3,,5,10,0,0,0,0
Black Orcs,27,4,2,6,Drilled - L,Resilient - L,Steadfast,,,,54,,,,,8,12,5,0,0,0,,6,1,1,1,1,1,1,6,,8,12,5,0,0,0
Orc Ambushers,25,4,1,6,Ambushers - L,Resilient - L,Savage - L,,,,49,,,,,3,12,9,0,0,0,,6,1,1,1,1,1,1,6,,3,12,9,0,0,0
Orc Shaman Apprentice,24,4,1,6,Spell-Caster - P,Spell: Fireball,Spell: Curse,,,,47,,,,,10,6,5,0,0,0,,6,1,1,1,1,1,1,6,,10,6,5,0,0,0
Orc Shaman,53,3,1,6,Extra Lives x2 - L,Spell-Caster - P,Spell: Curse,Spell: Fireball,Spell: Fury,,93,,,,,20,10,5,6,8,0,,6,3,1,1,1,1,1,18,,0,10,5,6,8,0
Orc Discipline Master,18,4,1,6,"Discipline Master -P, R1",,,,,,36,,,,,8,0,0,0,0,0,,6,1,1,1,1,1,1,6,,8,0,0,0,0,0
Orc Hero,52,3,3,8,Hero - P,Extra Lives x2 - L,,,,,92,,,,,8,20,0,0,0,0,,8,1,3,1,1,1,1,24,,8,0,0,0,0,0
Orc Legendary Bowman,65,3,2,8,Hero - P,Extra Lives x2 - L,Shooters 3 - P,,,,110,,,,,8,20,21,0,0,0,,8,1,3,1,1,1,1,24,,8,0,21,0,0,0
Orc Commander,79,3,3,7,Extra Lives x3 - L,Tough - L,"General – P, R1",,,,140,,,,,40,24,12,0,0,0,,7,4,1,1,1,1,1,28,,0,24,12,0,0,0
Orc Beastmaster,23,4,1,6,Resilient - L,Beast Lord - P,,,,,45,,,,,12,7,0,0,0,0,,6,1,1,1,1,1,1,6,,12,7,0,0,0,0
Orc Duelist,30,4,2,7,Tough - L,Champion - P,,,,,61,,,,,24,4,0,0,0,0,,7,1,1,1,1,1,1,7,,24,4,0,0,0,0
Halforc Assassin,20,4,2,6,"Assassin Level 1 - P, R3",,,,,,39,,,,,7,0,0,0,0,0,,6,1,1,1,1,1,1,6,,7,0,0,0,0,0
Orc Assassin,28,3,2,6,"Assassin Level 2 - P, R3",Stealth - P,,,,,63,,,,,14,3,0,0,0,0,,6,1,1,1,1,1,1,6,,14,3,0,0,0,0
Orc Master Assassin,31,3,2,6,"Assassin Level 3 - P, R2",Stealth - P,,,,,71,,,,,21,3,0,0,0,0,,6,1,1,1,1,1,1,6,,21,3,0,0,0,0
Orc Wyvern Rider,61,4,2,7,Flying - L,Fast,Poison/Venom - L,Extra Lives x3 - L,,,96,,,,,18,4,8,40,0,0,,7,1,1,1,4,1,1,28,,18,4,8,0,0,0
Orc Necromancer,15,3,1,5,Necromancer - P,,,,,,44,,,,,10,0,0,0,0,0,,3,1,1,1,1,1,1,3,,10,0,0,0,0,0
Orc Skeleton,0,4,2,5,Undead,,,,,,33,,,,,4,0,0,0,0,0,,3,,1,1,1,1,1,0,,4,0,0,0,0,0
Orc Zombie,0,4,2,6,Undead,Slow,Nonreactive,Horde,,,27,,,,,4,-1,-12,1,0,0,,6,,1,1,1,1,1,0,,4,-1,-12,1,0,0
Orc General's Bodyguard,20,4,2,7,Bodyguards - L,,,,,,42,,,,,5,0,0,0,0,0,,7,1,1,1,1,1,1,7,,5,0,0,0,0,0
Orc Besiegers,16,4,1,6,Engineers - L,,,,,,33,,,,,4,0,0,0,0,0,,6,1,1,1,1,1,1,6,,4,0,0,0,0,0
Orc Stonethrower,13,4,1,4,Artillery level 2 – L,,,,,,38,,,,,20,0,0,0,0,0,,2,1,1,1,1,1,1,2,,20,0,0,0,0,0
Orc Ballista/scorpion,13,4,1,4,Artillery level 2 – L,,,,,,38,,,,,20,0,0,0,0,0,,2,1,1,1,1,1,1,2,,20,0,0,0,0,0
Orc Catapult,17,4,1,4,Artillery level 3 - L,,,,,,54,,,,,40,0,0,0,0,0,,2,1,1,1,1,1,1,2,,40,0,0,0,0,0
Orc Catapult with Flaming Projectiles,18,4,1,4,Artillery level 3 - L,Flaming Projectiles,,,,,58,,,,,40,5,0,0,0,0,,2,1,1,1,1,1,1,2,,40,5,0,0,0,0
Orc Catapult with Plague Projectiles,18,4,1,4,Artillery level 3 - L,Plague Projectiles,,,,,58,,,,,40,5,0,0,0,0,,2,1,1,1,1,1,1,2,,40,5,0,0,0,0
Orc Cannon,23,4,1,4,Artillery level 4 – L,,,,,,88,,,,,80,0,0,0,0,0,,2,1,1,1,1,1,1,2,,80,0,0,0,0,0
Orc Mortar,32,4,1,4,Artillery level 5 – R1,,,,,,154,,,,,160,0,0,0,0,0,,2,1,1,1,1,1,1,2,,160,0,0,0,0,0
Orc Battering Ram,20,4,2,6,,Siege Engine Level 1 - L,,,,,39,,,,,0,7,0,0,0,0,,6,1,1,1,1,1,1,6,,0,7,0,0,0,0
Orc Siege Tower,26,4,2,8,Slow,Siege Engine Level 2 - L,,,,,53,,,,,-1,14,0,0,0,0,,8,1,1,1,1,1,1,8,,-1,14,0,0,0,0
halforc highwaymen,15,4,2,5,Highwaymen – R2,Skirmishers,,,,,38,,,,,5,5,0,0,0,0,,3,1,1,1,1,1,1,3,,5,5,0,0,0,0
halforc treasure hunters,21,4,2,6,"Adventuring Party - L1, R1",,,,,,42,,,,,10,0,0,0,0,0,,6,1,1,1,1,1,1,6,,10,0,0,0,0,0
Goblin Suicide Pact Warriors,14,4,1,4,"Expendable - L, R4",Difficult Target,Horde,,,,26,,,,,0,5,1,0,0,0,,2,2,1,1,1,1,1,4,,0,5,1,0,0,0
Orc Chariot,#N/A,4,2,6,Chariot - L,Fast,,,,,40,,,,,4,4,0,0,0,0,,6,#N/A,1,1,1,1,1,#N/A,,#N/A,4,0,0,0,0
Orc Battle Chariot,#N/A,4,2,6,Chariot - L,Fast,Fear,Resilient - L,,,61,,,,,4,4,13,12,0,0,,6,#N/A,1,1,1,1,1,#N/A,,#N/A,4,13,12,0,0
Orc Boatmen,13,4,2,5,Boat,,,,,,32,,,,,3,0,0,0,0,0,,3,1,1,1,1,1,1,3,,3,0,0,0,0,0
Snow Orcs,17,4,2,6,Snow-Walk,0,,,,,35,,,,,2,0,0,0,0,0,,6,1,1,1,1,1,1,6,,2,0,0,0,0,0
Snow Orc Shooters,22,4,1,6,Snow-Walk,Shooters 1 - L,Skirmishers,,,,43,,,,,2,10,5,0,0,0,,6,1,1,1,1,1,1,6,,2,10,5,0,0,0
Wyvern,52,3,3,7,Flying - L,"Monster Level 3 - L, R3",,,,,142,,,,,18,60,0,0,0,0,,7,1,1,1,1,1,1,7,,18,60,0,0,0,0
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Elf Cavalry,21,4,2,6,Mounted – L,Fast,,,,,42,,,,,6,4,0,0,0,0,,6,1,1,1,1,1,1,6,,6,4,0,0,0,0
High Elf Heavy Cavalry,21,4,2,7,Mounted – L,,,,,,43,,,,,6,0,0,0,0,0,,7,1,1,1,1,1,1,7,,6,0,0,0,0,0
High Elf Light Cavalry,19,4,1,6,Mounted – L,Fast,,,,,38,,,,,6,4,0,0,0,0,,6,1,1,1,1,1,1,6,,6,4,0,0,0,0
High Elf Stag Riders,#DIV/0!,4,2,7,Mounted – L,Devastating Charge - L,Forester,,,,53,,,,,6,7,5,0,0,0,,7,1,1,1,1,1,1,7,,6,7,5,0,0,0
Elven Pikemen,19,4,2,6,Pikes,,,,,,38,,,,,6,0,0,0,0,0,,6,1,1,1,1,1,1,6,,6,0,0,0,0,0
Elven Armored Pikemen,20,4,2,7,Pikes,Slow,,,,,42,,,,,6,-1,0,0,0,0,,7,1,1,1,1,1,1,7,,6,-1,0,0,0,0
Elven Halberdiers,23,4,2,6,Pikes,Savage - L,,,,,46,,,,,6,9,0,0,0,0,,6,1,1,1,1,1,1,6,,6,9,0,0,0,0
Elite High Elf Archers,25,3,1,6,Shooters 2 - L,,,,,,57,,,,,16,0,0,0,0,0,,6,1,1,1,1,1,1,6,,16,0,0,0,0,0
High Elf Archers,24,4,2,6,Shooters 2 - L,,,,,,47,,,,,16,0,0,0,0,0,,6,1,1,1,1,1,1,6,,16,0,0,0,0,0
High Elf Armored Archers,25,4,2,7,Shooters 2 - L,Slow,,,,,50,,,,,16,-1,0,0,0,0,,7,1,1,1,1,1,1,7,,16,-1,0,0,0,0
Young Elf Warriors,#NUM!,4,1,5,Rabble,Reluctant,,,,,12,,,,,-14,-2,0,0,0,0,,3,1,1,1,1,1,1,3,,-14,-2,0,0,0,0
Young Elf Archers,6,4,1,5,Rabble,Reluctant,Shooters 1 - L,,,,20,,,,,-14,-2,10,0,0,0,,3,1,1,1,1,1,1,3,,-14,-2,10,0,0,0
Elf Adventurers,16,4,1,5,"Adventuring Party - L1, R1",Ambushers - L,Skirmishers,,,,40,,,,,10,3,5,0,0,0,,3,1,1,1,1,1,1,3,,10,3,5,0,0,0
Elf Swordsmen,16,4,2,6,,,,,,,33,,,,,0,0,0,0,0,0,,6,1,1,1,1,1,1,6,,0,0,0,0,0,0
Elf Armored Swordsmen,17,4,2,7,Slow,,,,,,37,,,,,-1,0,0,0,0,0,,7,1,1,1,1,1,1,7,,-1,0,0,0,0,0
Elf Great Axes,#DIV/0!,4,2,6,Savage - L,,,,,,41,,,,,9,0,0,0,0,0,,6,1,1,1,1,1,1,6,,9,0,0,0,0,0
Elite Elven Pikemen,23,4,2,6,Pikes,Drilled - L,,,,,45,,,,,6,8,0,0,0,0,,6,1,1,1,1,1,1,6,,6,8,0,0,0,0
Elven Warrior Prince,39,3,3,7,Shooters 3 - P,Resilient - L,,,,,92,,,,,21,12,0,0,0,0,,7,1,1,1,1,1,1,7,,21,12,0,0,0,0
Elven Warrior King,80,3,3,7,Shooters 3 - P,Tough - L,Extra Lives x2 - L,"General – P, R1",,,141,,,,,21,24,20,12,0,0,,7,1,1,3,1,1,1,21,,21,24,0,12,0,0
High Elf Mage,23,3,1,5,Spell-Caster - P,Spell: Alter Terrain,Spell: Armor,Spell: Destroy Undead,Spell: Lightning Bolt,Spell: Meteor Storm,70,,,,,10,5,5,3,6,4,,3,1,1,1,1,1,1,3,,10,5,5,3,6,4
Elf Scouts,25,4,1,6,Difficult Target,Scout - R4,Shooters 1 - L,Forester,,,50,,,,,5,5,10,5,0,0,,6,1,1,1,1,1,1,6,,5,5,10,5,0,0
Elf Battledancers,19,4,2,6,Difficult Target,Horde,,,,,38,,,,,5,1,0,0,0,0,,6,1,1,1,1,1,1,6,,5,1,0,0,0,0
Elven Prince High Guard,26,4,2,7,Bodyguards - L,Steadfast,Drilled - L,,,,53,,,,,5,5,8,0,0,0,,7,1,1,1,1,1,1,7,,5,5,8,0,0,0
Elven Chariots,20,4,2,6,Chariot level 2 - L,Fast,,,,,40,,,,,4,4,0,0,0,0,,6,1,1,1,1,1,1,6,,4,4,0,0,0,0
Elven Air Chariots,#N/A,4,2,7,Chariot level 3 - L,Fast,Flying - L,Resilient - L,,,72,,,,,7,4,18,12,0,0,,7,#N/A,1,1,1,1,1,#N/A,,#N/A,4,18,12,0,0
Elven Paladins,26,4,2,7,Fearless,Resilient - L,,,,,52,,,,,5,12,0,0,0,0,,7,1,1,1,1,1,1,7,,5,12,0,0,0,0
Elven Raiders,15,4,1,5,Difficult Target,Skirmishers,Fast,,,,37,,,,,5,5,4,0,0,0,,3,1,1,1,1,1,1,3,,5,5,4,0,0,0
Elven Shieldwall,18,4,2,6,Shieldwall,,,,,,37,,,,,4,0,0,0,0,0,,6,1,1,1,1,1,1,6,,4,0,0,0,0,0
Elven Conscript Slingers,11,4,0,5,Difficult Target,Shooters 0 - L,Reluctant,,,,28,,,,,5,5,-2,0,0,0,,3,1,1,1,1,1,1,3,,5,5,-2,0,0,0
Elf City Militia,12,4,1,6,Reluctant,,,,,,28,,,,,-2,0,0,0,0,0,,6,1,1,1,1,1,1,6,,-2,0,0,0,0,0
Elf City Militia Archers,19,4,1,6,Shooters 1 - L,,,,,,38,,,,,10,0,0,0,0,0,,6,1,1,1,1,1,1,6,,10,0,0,0,0,0
Elven City High Guard,33,3,2,7,Pikes,Steadfast,Resilient - L,,,,76,,,,,6,5,12,0,0,0,,7,1,1,1,1,1,1,7,,6,5,12,0,0,0
Elf Villagers,4,5,0,5,Reluctant,,,,,,13,,,,,-2,0,0,0,0,0,,3,1,1,1,1,1,1,3,,-2,0,0,0,0,0
Elf seer,19,3,1,6,"Astrologer - P, R2",,,,,,44,,,,,5,0,0,0,0,0,,6,1,1,1,1,1,1,6,,5,0,0,0,0,0
Elven Forest Guards,23,4,2,6,Forester,Steadfast,Talisman vs. Fey Creatures -P,,,,45,,,,,5,5,4,0,0,0,,6,1,1,1,1,1,1,6,,5,5,4,0,0,0
Elven Ballista,16,4,1,5,Artillery level 2 – L,,,,,,42,,,,,20,0,0,0,0,0,,3,1,1,1,1,1,1,3,,20,0,0,0,0,0
Elven Dog Handler,14,4,1,5,Forester,Beast Lord - P,,,,,35,,,,,5,7,0,0,0,0,,3,1,1,1,1,1,1,3,,5,7,0,0,0,0
Elf Hero Marksman,56,3,2,6,Shooters 3 - P,Hero - P,Extra Lives x2 - L,,,,99,,,,,21,8,20,0,0,0,,6,1,1,3,1,1,1,18,,21,8,0,0,0,0
Elf High Priest,40,3,1,7,High Priest - P,Extra Lives x2 - L,,,,,77,,,,,9,20,0,0,0,0,,7,1,3,1,1,1,1,21,,9,0,0,0,0,0
Elf Stargazer,13,3,1,5,"Astrologer - P, R2",,,,,,39,,,,,5,0,0,0,0,0,,3,1,1,1,1,1,1,3,,5,0,0,0,0,0
